pick,player,team
1,Mychal Thompson,POR
2,Phil Ford,KCK
3,Rick Robey,IND
4,Michael Ray Richardson,NYK
5,Purvis Short,GSW
6,Larry Bird,BOS
7,Ron Brewer,POR
8,Freeman Williams,BOS
9,Reggie Theus,CHI
10,Butch Lee,ATL
11,James Hardy,NOJ
12,George Johnson,MIL
13,Winford Boynes,NJN
14,Roger Phegley,WSB
15,Mike Mitchell,CLE
16,Jack Givens,ATL
17,Rod Griffin,DEN
18,Dave Corzine,WSB
19,Marty Byrnes,PHO
20,Frankie Sanders,SAS
21,Mike Evans,DEN
22,Raymond Townsend,GSW
23,Terry Tyler,DET
24,Keith Herron,POR
25,Rick Wilson,ATL
26,Ron Carter,LAL
27,Wayne Radford,IND
28,Buster Matheney,HOU
29,John Long,DET
30,Jeff Judkins,BOS
31,Marvin Johnson,CHI
32,John Rudd,NYK
33,Harry Davis,CLE
34,Greg Bunch,NYK
35,Tommie Green,NOJ
36,Maurice Cheeks,PHI
37,Terry Sykes,WSB
38,Lew Massey,LAL
39,James Lee,SEA
40,Wayne Cooper,GSW
41,Jerome Whitehead,SDC
42,Keven McDonald,SEA
43,Glenn Hagan,PHO
44,Clemon Johnson,POR
45,Mike Phillips,NJN
46,Hollis Copeland,DEN
47,Billy Ray Bates,HOU
48,Mike Santos,SDC
49,Jeff Cook,KCK
50,Dana Skinner,BOS
51,Ricky Gallon,SDC
52,Mike Russell,KCK
53,Randy Ayers,CHI
54,Steve Grant,ATL
55,Marc Iavaroni,NYK
56,Steve Neff,GSW
57,Kenny Higgs,CLE
58,Rick Apke,WSB
59,Pat Cummings,MIL
60,Michael Cooper,LAL
61,Dave Baxter,SEA
62,Dave Batton,NJN
63,Joel Kramer,PHO
64,Gerald Henderson,SAS
65,Marvin Delph,SDC
66,Sterling Edmonds,POR
67,Jackie Robinson,HOU
68,Jim Boylan,SDC
69,Joel Thompson,HOU
70,Geoff Crompton,KCK
71,Rickey Lee,IND
72,Dave Nelson,BOS
73,Larry Harris,SDC
74,Mel Davis,NOJ
75,Jeff Covington,NOJ
76,Leroy McDonald,SDC
77,Derrick Jackson,GSW
78,Stan Rome,CLE
79,Erving Giddings,NYK
80,Otis Howard,MIL
81,Lawrence Boston,WSB
82,Harold Robertson,LAL
83,Billy Lewis,SEA
84,Walter Jordan,NJN
85,Bob Miller,PHO
86,Rich Adams,SAS
87,Brett Vroman,PHI
88,Wayne Smith,PHO
89,Cecil Rose,NJN
90,David Thompson,SDC
91,Gary Goodner,HOU
92,James Sparrow,IND
93,Derrick Clairborne,KCK
94,Greg Tynes,BOS
95,Dave Caligaris,DET
96,Duck Williams,NOJ
97,Ron Anthony,CHI
98,Chris Potter,ATL
99,Ken Koenigs,CLE
100,Greg Green,NYK
101,Bubba Wilson,GSW
102,Roger Dickens,WSB
103,Russ Coleman,MIL
104,Carlos Terry,LAL
105,Ralph Drollinger,SEA
106,Michael Edwards,DEN
107,Andre Wakefield,PHO
108,Eugene Parker,SAS
109,Mark Haymore,PHI
110,Clay Johnson,POR
111,Golie Augustus,NJN
112,Bob Misevicius,SDC
113,Eddie Joe Chavez,HOU
114,Jim Krivacs,KCK
115,Sherman Dillard,IND
116,Dave Winey,BOS
117,Audie Matthews,DET
118,John Douglas,NOJ
119,John Shoemaker,CHI
120,Gerald Glover,ATL
121,Eddie Warren,NYK
122,Buzz Harnett,GSW
123,Ron Bell,CLE
124,Dave Kyle,MIL
125,Archie Aldridge,WSB
126,Kim Stewart,LAL
127,Robert Heard,DEN
128,Charles Thompson,PHO
129,Harry Morgan,SAS
130,Osborne Lockhart,PHI
131,Tim Evans,POR
132,Doug Jemison,NJN
133,Stan Pietkiewicz,SDC
134,Stan Stewart,HOU
135,Ollie Matson Jr.,IND
136,Charles McMillian,KCK
137,Steve Balkun,BOS
138,Herb Entzminger,DET
139,Willie Howard,NOJ
140,Jarvis Reynolds,CHI
141,Jim DeWeese,ATL
142,Rick Bernard,GSW
143,Tony Smith,CLE
144,Gary Pember,NYK
145,Ed Hopkins,WSB
146,Kim Anderson,MIL
147,Larry Paige,LAL
148,Jack Gilloon,DEN
149,Steve Malovic,PHO
150,Hector Olivencia,SAS
151,Anthony Murray,PHI
152,Walter Reason,POR
153,Bruce Campbell,NJN
154,Felton Young,SDC
155,Ron Hammye,KCK
156,Kim Fisher,BOS
157,Earl Evans,DET
158,Carl Kilpatrick,NOJ
159,Chubby Cox,CHI
160,Ed Murphy,ATL
161,Roland Martin,CLE
162,Greg Sanders,NYK
163,Tony Searcy,GSW
164,Tom Zaliagiris,MIL
165,Nestor Cora,WSB
