1,Joe Barry Carroll,GSW
2,Darrell Griffith,UTA
3,Kevin McHale,BOS
4,Kelvin Ransey,CHI
5,James Ray,DEN
6,Mike O'Koren,NJN
7,Mike Gminski,NJN
8,Andrew Toney,PHI
9,Michael Brooks,SDC
10,Ronnie Lester,POR
11,Kiki Vandeweghe,DAL
12,Mike Woodson,NYK
13,Rickey Brown,GSW
14,Wes Matthews,WSB
15,Reggie Johnson,SAS
16,Hawkeye Whitney,KCK
17,Larry Drew,DET
18,Don Collins,ATL
19,John Duren,UTA
20,Bill Hanzlik,SEA
21,Monti Davis,PHI
22,Chad Kinch,CLE
23,Carl Nicks,DEN
24,Larry Smith,GSW
25,Jeff Ruland,GSW
26,Sam Worthen,CHI
27,John Stroud,HOU
28,Craig Shelton,ATL
29,Louis Orr,IND
30,Kenny Natt,IND
31,Wayne Robinson,LAL
32,David Lawrence,POR
33,Bruce Collins,POR
34,Roosevelt Bouie,DAL
35,Rick Mahorn,WSB
36,DeWayne Scales,NYK
37,Butch Carter,LAL
38,Terry Stotts,HOU
39,Michael Wiley,SAS
40,Dick Miller,IND
41,Jawann Oldham,DEN
42,Kimberly Belton,PHO
43,Billy Williams,HOU
44,Clyde Austin,PHI
45,Brad Branson,DET
46,Arnette Hallman,BOS
47,Kurt Nimphius,DEN
48,Eddie Lee,DEN
49,John Virgil,GSW
50,James Wilkes,CHI
51,Ronnie Valentine,DEN
52,Lowes Moore,NJN
53,Stuart House,CLE
54,Ron Perry,BOS
55,Wayne Abrams,CLE
56,Mike Harper,POR
57,Dave Britton,DAL
58,Kurt Rambis,NYK
59,John Campbell,PHO
60,LaVon Mercer,SAS
61,Rich Yonakor,SAS
62,Tony Murphy,KCK
63,Al Beal,MIL
64,Jonathan Moore,DET
65,Doug True,PHO
66,Carl Bailey,SEA
67,Reggie Gaines,PHI
68,Ron Jones,CLE
69,Don Newman,BOS
70,Darwin Cook,DET
71,Robert Scott,GSW
72,Alan Taylor,UTA
73,Sammie Ellis,DEN
74,Ron Charles,CHI
75,Rory Sparrow,NJN
76,Ed Odom,SDC
77,Murray Brown,CLE
78,Rich Branning,IND
79,Kelvin Henderson,POR
80,David Johnson,DAL
81,Francois Wise,WSB
82,Joe Chrnelich,NYK
83,Calvin Roberts,SAS
84,Dean Hunger,HOU
85,Billy Bryant,PHO
86,Jeff Wolf,MIL
87,Tony Jackson,LAL
88,Leroy Stampley,PHO
89,Gary Ray Hooker,SEA
90,Harold Hubbard,PHI
91,Ron Baxter,LAL
92,Kevin Hamilton,BOS
93,Tony Fuller,DET
94,Wally West,UTA
95,Don Carfino,GSW
96,Mike Campbell,CHI
97,James Patrick,DEN
98,Aaron Curry,NJN
99,Wally Rank,SDC
100,Joe Galvin,IND
101,LaVon Williams,CLE
102,Larry Belin,POR
103,Darrell Allums,DAL
104,William Carey,NYK
105,Daryl Strickland,WSB
106,Albert Jones,HOU
107,Gib Hinz,SAS
108,Kelvin Blakely,KCK
109,Ken Jones,MIL
110,Mike Doyle,ATL
111,Mark Stevens,PHO
112,Lenny Horton,SEA
113,Jim Swaney,PHI
114,Rick Raivio,LAL
115,Rufus Harris,BOS
116,Tony Turner,DET
117,Neil Bresnahan,GSW
118,Kenny Cunningham,UTA
119,Ernie Hill,DEN
120,Bernard Rencher,CHI
121,Rick Mattick,NJN
122,Londale Theus,SDC
123,Antonio Martin,CLE
124,Randy Owens,IND
125,Perry Mirkovich,POR
126,Leroy Jackson,DAL
127,Ken Dancy,WSB
128,Kelvin Hicks,NYK
129,Dean Uthoff,SAS
130,Everette Jefferson,HOU
131,Trent Grooms,KCK
132,Alex Gilbert,MIL
133,Mike Zagardo,ATL
134,Coby Leavitt,PHO
135,Jim Strickland,SEA
136,Donald Cooper,PHI
137,Otis Boddie,LAL
138,Kenny Evans,BOS
139,Carl Pierce,DET
140,Dave Colescott,UTA
141,Lorenzo Romar,GSW
142,Robert Byrd,CHI
143,Tommy Springer,DEN
144,Larry Spicer,NJN
145,Paul Anderson,SDC
146,Charles Naddaff,IND
147,Leroy Berry,CLE
148,Gig Sims,POR
149,Tony Forch,DAL
150,Bobby Turner,NYK
151,Karl Godine,WSB
152,Joe Nehls,HOU
153,Alan Zahn,SAS
154,Arnold McDowell,KCK
155,Ron White,MIL
156,Charles Hightower,ATL
