pick, player, team
1,Cade Cunningham,DET
2,Jalen Green,HOU
3,Evan Mobley,CLE
4,Scottie Barnes,TOR
5,Jalen Suggs,ORL
6,Josh Giddey,OKC
7,Jonathan Kuminga,GSW
8,Franz Wagner,ORL
9,Davion Mitchell,SAC
10,Ziaire Williams,NOP
11,James Bouknight,CHO
12,Joshua Primo,SAS
13,Chris Duarte,IND
14,Moses Moody,GSW
15,Corey Kispert,WAS
16,Alperen Şengün,OKC
17,Trey Murphy III,MEM
18,Tre Mann,OKC
19,Kai Jones,NYK
20,Jalen Johnson,ATL
21,Keon Johnson,NYK
22,Isaiah Jackson,LAL
23,Usman Garuba,HOU
24,Josh Christopher,HOU
25,Quentin Grimes,LAC
26,Bones Hyland,DEN
27,Cam Thomas,BRK
28,Jaden Springer,PHI
29,Day'Ron Sharpe,PHO
30,Santi Aldama,UTA
31,Isaiah Todd,MIL
32,Jeremiah Robinson-Earl,NYK
33,Jason Preston,ORL
34,Rokas Jokubaitis,OKC
35,Herbert Jones,NOP
36,Miles McBride,OKC
37,JT Thor,DET
38,Ayo Dosunmu,CHI
39,Neemias Queta,SAC
40,Jared Butler,NOP
41,Joe Wieskamp,SAS
42,Isaiah Livers,DET
43,Greg Brown III,NOP
44,Kessler Edwards,BRK
45,Juhann Begarin,BOS
46,Dalano Banton,TOR
47,David Johnson,TOR
48,Sharife Cooper,ATL
49,Marcus Zegarowski,BRK
50,Filip Petrušev,PHI
51,Brandon Boston Jr.,MEM
52,Luka Garza,DET
53,Charles Bassey,PHI
54,Sandro Mamukelashvili,IND
55,Aaron Wiggins,OKC
56,Scottie Lewis,CHO
57,Balša Koprivica,CHO
58,Jericho Sims,NYK
59,RaiQuan Gray,BRK
60,Georgios Kalaitzakis,IND
